T100S-HP,OSA,WLM
1618.0,+1.61800040E-006,+1.61800470E-006
1619.0,+1.61899940E-006,+1.61900231E-006
1620.0,+1.61999900E-006,+1.62000625E-006
1621.0,+1.62100230E-006,+1.62100404E-006
1622.0,+1.62199550E-006,+1.62200268E-006
1623.0,+1.62300160E-006,+1.62300365E-006
1624.0,+1.62399860E-006,+1.62400450E-006
1625.0,+1.62499930E-006,+1.62500277E-006
1626.0,+1.62599720E-006,+1.62600152E-006
1627.0,+1.62699430E-006,+1.62699879E-006
1628.0,+1.62799440E-006,+1.62799984E-006
1629.0,+1.62899280E-006,+1.62899868E-006
1630.0,+1.62999520E-006,+1.62999959E-006
1631.0,+1.63099000E-006,+1.63099751E-006
1632.0,+1.63199520E-006,+1.63199875E-006
1633.0,+1.63298930E-006,+1.63299689E-006
1634.0,+1.63399610E-006,+1.63399897E-006
1635.0,+1.63498900E-006,+1.63499645E-006
1636.0,+1.63599360E-006,+1.63599781E-006
1637.0,+1.63698410E-006,+1.63699193E-006
1638.0,+1.63798850E-006,+1.63799278E-006
1639.0,+1.63898000E-006,+1.63898920E-006
1640.0,+1.63998190E-006,+1.63998604E-006
